Id,country_id,Human Development Index HDI-2014,Gini coefficient 2005-2013,Adolescent birth rate 15-19 per 100k 20102015,Carbon dioxide emissionsAverage annual growth,Carbon dioxide emissions per capita 2011 Tones,Change forest percentable 1900 to 2012,Consumer price index 2013,Domestic food price level 2009 2014 index,Domestic food price level 2009-2014 volitility index,Electrification rate or population,Foreign direct investment net inflows percentage GDP 2013,Fossil fuels percentage of total 2012,Gender Inequality Index 2014,General government final consumption expenditure - Perce of GDP 2005-2013,Gross domestic product GDP 2013,Gross domestic product GDP percapta,Gross national income GNI per capita - 2011  Dollars,Homicide rate per 100k people 2008-2012,Infant Mortality 2013 per thousands,International inbound tourists thausands 2013,Internet users percentage of population 2014,Intimate or nonintimate partner violence ever experienced 2001-2011,Life expectancy at birth- years,Maternal mortality ratio deaths per 100 live births 2013,Mean years of schooling - Years,Net migration rate per 1k people 2010-2015,Physicians per 10k people,Population living on degraded land Percentage 2010,Primary school dropout rate 2008-2014,Prison population per 100k people,Public expenditure on education Percentange GDP,Public health expenditure percentage of GDP 2013,Pupil-teacher ratio primary school pupils per teacher 2008-2014,Renewable sources percentage of total 2012,Research and development expenditure  2005-2012,Share of seats in parliament percentage held by womand 2014,Taxes on income profit and capital gain 205 2013,Total tax revenue of GDP 2005-2013,Under-five Mortality 2013 thousands
Norway,1,0.94387728,26.83,7.834,0.778924806,9.192879069,11.91456737,104.1941748,1.51,11.3,100,0.5125554,57.27180466,0.067443002,21.85272015,317.4975867,62448.01762,64992.34046,2.2,2.3,4963,96.3,26.8,81.6,4,12.631,6,37.39,0.186818481,1.51155,72,6.552840233,9.573011,9.590636667,47.75267616,1.65474,39.6449704,31.79839075,27.28809691,2.8
Australia,2,0.93495825,34.01,12.059,1.090351403,16.51920992,-4.561812321,107.7894398,1.36,6.3,100,3.330412,95.36779752,0.110130103,17.7467415,990.7210035,42831.06163,42260.61295,1.1,3.4,6382,84.56,39.9,82.4,6,12.96338081,6.5,32.73,8.98454966,6.118623333,130,5.110410213,8.998704,12.30300667,4.632201736,2.38562,30.5309735,65.33374843,21.361426,4
Switzerland,3,0.92961314,32.35,1.9,-1.101253915,4.625229924,8.567416409,99.3172293,1.35,6.6,100,-1.193327,51.07563775,0.027847645,10.96350675,442.0365935,54697.46682,56431.06833,0.6,3.6,8967,87,39,83,6,12.82348463,8,39.38,0.4567513,6.05644,82,5.276949883,11.46621,10.7542,49.65939818,2.87046,28.4552846,22.67329867,9.759124063,4.2
Denmark,4,0.923327926,26.88,5.101,-1.767732957,7.248328717,23.02997397,106.0577185,1.31,6,100,0.4755334,70.58238697,0.048432247,26.71585401,235.7224101,41990.51573,44025.48217,0.8,2.9,8557,95.99,50,80.2,5,12.72938824,2.7,34.24,8.536134407,1.11317,73,8.745690346,10.62326,12.30300667,26.76724503,2.98416,37.9888268,39.6779382,33.39565101,3.5
Netherlands,5,0.921793512,28.87,6.165,-0.25273377,10.06448974,5.92260219,107.4741544,1.38,5.6,100,3.761942,91.44745084,0.062405981,26.33518498,755.2590028,44944.59267,45435.1166,0.9,3.3,12800,93.17,39.46666667,81.6,6,11.88930225,0.6,31.49,5.352625045,6.05644,82,5.930980206,12.8853,11.50226,6.671365641,2.15676,36.8888889,23.53310361,19.72405892,4
Germany,6,0.916079908,30.63,3.795,-0.739740093,8.917832846,3.293447369,105.692141,1.54,5.6,100,1.374354,80.187836,0.040728955,19.26363598,3483.398236,43206.66066,43918.53597,0.8,3.2,31500,86.19,40,80.9,7,13.06677702,1.3,38.06,8.085258727,3.75764,79,4.979529858,11.29719,11.71402,20.38880799,2.9191,36.8571429,16.25383828,11.51823703,3.9
Ireland,7,0.915541562,32.06,8.236,0.591211929,7.880759326,62.70967741,104.8396802,1.23,3.3,100,21.52736,84.72883027,0.112931537,17.4782253,206.4707637,44931.04202,39568.12085,1.2,3.2,8260,79.69,14.5,80.9,9,12.2,2.2,27.19,0.483991792,6.118623333,88,6.154679775,8.921805,16.06046,6.405793703,1.72382,19.9115044,37.82396011,22.00695642,3.8
United States,8,0.914959354,41.12,31.001,-0.692444213,17.02021634,2.98213413,106.8338489,1,0,100,1.75912,83.55005184,0.27997656,15.19253821,16230.20875,51340.48763,52946.51344,4.7,5.9,69800,87.36,35.6,79.1,28,12.94252883,3.1,24.52,1.09258942,2.425216667,716,5.226019859,17.09764,14.42216,16.29966924,2.79197,19.4392523,53.18171451,10.56589596,6.9
Canada,9,0.913178984,33.68,14.499,-0.40164638,14.13581338,1.17E-08,105.4522038,1.25,7.1,100,3.873133,73.69457159,0.129227342,21.67536679,1472.925397,41894.09697,42155.00562,1.6,4.6,16600,87.12,6.4,82,11,13.00416198,6.3,20.68,2.682220681,4.6367,118,5.272459984,10.8607,11.17668,27.89825014,1.72797,28.1725888,51.64931625,11.53194769,5.2
New Zealand,10,0.913497656,28.76333333,25.309,1.115933201,7.124050867,6.893782372,106.7281728,1.96,8.7,100,-0.2743136,61.43322269,0.157201498,18.67254022,146.6764056,32807.64194,32689.36246,0.9,5.2,2629,85.5,33.1,81.8,8,12.503,3.3,27.35,5.257356694,2.48661,192,7.354410172,9.738794,14.58702,38.37153225,1.2709,31.4049587,36.31131674,29.2747283,6.3
